,FIGHTER,HEIGHT_fighter,WEIGHT_fighter,REACH_fighter,STANCE_fighter,Fights,Win,DRAW,Lost,No_contest,TotalTime,KD_fighter,SUB.ATT_fighter,REV._fighter,CTRL_fighter,SIG.STR._landed_fighter,SIG.STR._attemps_fighter,TOTAL STR._landed_fighter,TOTAL STR._attemps_fighter,TD_landed_fighter,TD_attemps_fighter,HEAD_landed_fighter,HEAD_attemps_fighter,BODY_landed_fighter,BODY_attemps_fighter,LEG_landed_fighter,LEG_attemps_fighter,DISTANCE_landed_fighter,DISTANCE_attemps_fighter,CLINCH_landed_fighter,CLINCH_attemps_fighter,GROUND_landed_fighter,GROUND_attemps_fighter,KD_opponent,SUB.ATT_opponent,REV._opponent,CTRL_opponent,SIG.STR._landed_opponent,SIG.STR._attemps_opponent,TOTAL STR._landed_opponent,TOTAL STR._attemps_opponent,TD_landed_opponent,TD_attemps_opponent,HEAD_landed_opponent,HEAD_attemps_opponent,BODY_landed_opponent,BODY_attemps_opponent,LEG_landed_opponent,LEG_attemps_opponent,DISTANCE_landed_opponent,DISTANCE_attemps_opponent,CLINCH_landed_opponent,CLINCH_attemps_opponent,GROUND_landed_opponent,GROUND_attemps_opponent
73,Alptekin Ozkilic,65.0,125.0,65.0,Orthodox,4,1,0,3,0,2990,0.0,0.0,0.0,750,190,588,229,636,14,24,144,501,30,69,16,18,154,511,25,42,11,35,3.0,1.0,1.0,212.0,285.0,703.0,307.0,729.0,4.0,16.0,189.0,560.0,71.0,115.0,25.0,28.0,218.0,593.0,34.0,54.0,33.0,56.0
74,Alvaro Herrera Mendoza,72.0,155.0,74.0,Orthodox,4,1,0,3,0,795,1.0,1.0,0.0,11,25,65,26,66,0,0,17,56,7,8,1,1,20,60,3,3,2,2,1.0,2.0,0.0,366.0,45.0,100.0,72.0,134.0,4.0,6.0,20.0,60.0,8.0,17.0,17.0,23.0,31.0,75.0,2.0,3.0,12.0,22.0
75,Alvin Robinson,69.0,155.0,68.0,Southpaw,4,1,0,3,0,2185,0.0,3.0,4.0,671,57,113,247,336,3,6,53,108,3,3,1,2,13,35,5,10,39,68,0.0,8.0,3.0,1362.0,47.0,96.0,227.0,295.0,6.0,8.0,37.0,85.0,8.0,8.0,2.0,3.0,4.0,18.0,3.0,3.0,40.0,75.0
76,Amanda Cooper,63.0,115.0,64.0,Switch,6,2,0,4,0,2943,0.0,6.0,1.0,1018,174,394,319,579,5,13,134,344,23,31,17,19,112,318,7,10,55,66,2.0,8.0,1.0,629.0,157.0,327.0,218.0,395.0,5.0,7.0,106.0,265.0,33.0,40.0,18.0,22.0,107.0,265.0,9.0,10.0,41.0,52.0
77,Amanda Lemos,64.0,115.0,65.0,Southpaw,8,6,0,2,0,3597,5.0,2.0,0.0,710,281,490,341,555,5,9,180,363,66,90,35,37,192,368,49,61,40,61,0.0,1.0,1.0,824.0,236.0,475.0,382.0,636.0,1.0,9.0,138.0,335.0,61.0,85.0,37.0,55.0,142.0,354.0,92.0,118.0,2.0,3.0
78,Amanda Nunes,68.0,135.0,69.0,Orthodox,17,15,0,2,0,10764,8.0,10.0,0.0,3782,786,1517,1067,1864,32,54,532,1139,96,149,158,229,524,1075,28,43,234,399,0.0,6.0,1.0,781.0,458.0,1083.0,769.0,1440.0,6.0,32.0,313.0,883.0,70.0,102.0,75.0,98.0,361.0,938.0,42.0,63.0,55.0,82.0
79,Amanda Ribas,63.0,125.0,66.0,Orthodox,7,5,0,2,0,4525,0.0,6.0,1.0,1442,336,838,580,1111,11,23,205,661,72,111,59,66,266,739,23,31,47,68,2.0,0.0,1.0,387.0,194.0,665.0,344.0,823.0,2.0,17.0,145.0,564.0,34.0,79.0,15.0,22.0,166.0,626.0,16.0,25.0,12.0,14.0
80,Amir Albazi,65.0,125.0,68.0,Orthodox,4,4,0,0,0,2189,2.0,2.0,0.0,869,129,296,207,385,6,12,81,235,28,37,20,24,100,254,2,3,27,39,0.0,0.0,1.0,49.0,90.0,234.0,131.0,293.0,1.0,3.0,31.0,153.0,42.0,57.0,17.0,24.0,88.0,229.0,2.0,3.0,0.0,2.0
81,Amir Sadollah,70.0,170.0,75.0,Orthodox,11,6,0,5,0,7918,0.0,3.0,0.0,1106,621,1336,759,1488,5,18,286,874,162,257,173,205,420,1019,149,232,52,85,1.0,0.0,0.0,3008.0,469.0,1193.0,659.0,1413.0,20.0,51.0,361.0,1033.0,64.0,111.0,44.0,49.0,303.0,900.0,89.0,153.0,77.0,140.0
82,Anderson Dos Santos,65.0,135.0,70.0,Orthodox,4,1,0,3,0,2751,0.0,2.0,0.0,436,124,486,168,533,3,21,87,433,15,24,22,29,107,461,10,12,7,13,1.0,0.0,0.0,297.0,246.0,489.0,281.0,531.0,2.0,6.0,187.0,418.0,28.0,35.0,31.0,36.0,216.0,449.0,13.0,14.0,17.0,26.0
83,Anderson Silva,74.0,185.0,77.0,Southpaw,25,17,0,7,1,16250,18.0,6.0,1.0,822,832,1410,1029,1632,3,4,449,939,181,231,202,240,567,1081,123,147,142,182,6.0,4.0,1.0,4092.0,698.0,1724.0,1301.0,2422.0,18.0,76.0,423.0,1321.0,88.0,153.0,187.0,250.0,456.0,1308.0,72.0,129.0,170.0,287.0
84,Andre Ewell,68.0,145.0,75.0,Southpaw,9,4,0,5,0,7574,1.0,1.0,0.0,277,540,1349,577,1395,3,4,317,1023,165,253,58,73,528,1319,11,26,1,4,2.0,5.0,1.0,1463.0,615.0,1265.0,813.0,1484.0,9.0,33.0,321.0,850.0,133.0,200.0,161.0,215.0,471.0,1081.0,61.0,78.0,83.0,106.0
85,Andre Fialho,72.0,170.0,74.0,Orthodox,5,2,0,3,0,2441,2.0,0.0,0.0,70,129,332,145,350,0,0,94,287,17,25,18,20,109,303,15,18,5,11,1.0,0.0,0.0,231.0,253.0,475.0,279.0,510.0,2.0,7.0,146.0,334.0,70.0,101.0,37.0,40.0,218.0,423.0,15.0,23.0,20.0,29.0
86,Andre Fili,71.0,145.0,74.0,Orthodox,19,10,0,8,1,12468,4.0,4.0,5.0,1998,795,2135,964,2324,33,67,569,1820,116,176,110,139,691,1946,40,73,64,116,4.0,7.0,4.0,2378.0,837.0,1748.0,1146.0,2092.0,20.0,66.0,481.0,1283.0,160.0,253.0,196.0,212.0,705.0,1526.0,37.0,71.0,95.0,151.0
87,Andre Muniz,73.0,185.0,78.0,Southpaw,5,5,0,0,0,2394,0.0,7.0,0.0,1143,58,117,234,382,11,25,34,89,15,18,9,10,45,101,6,7,7,9,0.0,0.0,3.0,520.0,54.0,113.0,100.0,168.0,3.0,6.0,34.0,88.0,14.0,18.0,6.0,7.0,35.0,81.0,4.0,6.0,15.0,26.0
88,Andre Petroski,72.0,185.0,73.0,Switch,4,4,0,0,0,2654,0.0,10.0,1.0,1539,161,288,229,371,16,28,128,248,29,34,4,6,92,197,3,3,66,88,0.0,1.0,0.0,116.0,101.0,214.0,140.0,255.0,1.0,4.0,55.0,152.0,24.0,36.0,22.0,26.0,94.0,206.0,1.0,2.0,6.0,6.0
89,Andre Soukhamthath,69.0,135.0,70.0,Orthodox,7,2,0,5,0,5766,6.0,1.0,0.0,867,266,604,348,693,8,15,122,421,88,116,56,67,178,487,58,80,30,37,0.0,3.0,2.0,1560.0,414.0,826.0,637.0,1084.0,7.0,17.0,262.0,626.0,81.0,107.0,71.0,93.0,285.0,659.0,41.0,55.0,88.0,112.0
90,Andre Winner,71.0,155.0,73.0,Orthodox,6,2,0,4,0,4019,2.0,0.0,0.0,466,169,505,254,591,0,3,82,369,50,85,37,51,91,411,75,90,3,4,1.0,2.0,0.0,1215.0,306.0,634.0,420.0,760.0,9.0,35.0,156.0,438.0,83.0,111.0,67.0,85.0,183.0,450.0,116.0,174.0,7.0,10.0
91,Andrea Lee,66.0,125.0,69.0,Orthodox,9,5,0,4,0,7492,1.0,6.0,2.0,1290,678,1375,853,1570,14,28,328,911,216,306,134,158,539,1196,79,100,60,79,0.0,4.0,1.0,1866.0,454.0,1275.0,726.0,1622.0,20.0,46.0,286.0,1007.0,92.0,176.0,76.0,92.0,406.0,1200.0,35.0,46.0,13.0,29.0
92,Andreas Michailidis,72.0,185.0,76.0,Orthodox,4,1,0,3,0,2418,0.0,0.0,1.0,406,117,227,157,269,3,11,64,161,31,40,22,26,98,201,13,19,6,7,1.0,0.0,0.0,796.0,144.0,259.0,220.0,344.0,5.0,10.0,47.0,135.0,31.0,42.0,66.0,82.0,94.0,201.0,32.0,37.0,18.0,21.0
93,Andrei Arlovski,75.0,240.0,77.0,Orthodox,39,23,0,15,1,22301,10.0,5.0,1.0,1633,1429,3177,1725,3511,9,25,818,2368,282,392,329,417,1216,2856,171,258,42,63,9.0,6.0,3.0,3904.0,1218.0,2806.0,1687.0,3344.0,16.0,71.0,791.0,2253.0,204.0,297.0,223.0,256.0,904.0,2329.0,156.0,242.0,158.0,235.0
94,Andrew Craig,73.0,170.0,76.0,Orthodox,7,3,0,4,0,5141,2.0,0.0,2.0,732,205,512,450,786,3,8,142,431,28,39,35,42,150,445,26,33,29,34,5.0,4.0,0.0,1527.0,258.0,522.0,411.0,684.0,10.0,36.0,164.0,390.0,51.0,77.0,43.0,55.0,190.0,442.0,28.0,31.0,40.0,49.0
95,Andrew Holbrook,71.0,155.0,70.0,Southpaw,5,2,0,3,0,2123,0.0,5.0,1.0,376,78,158,181,271,2,11,47,115,23,33,8,10,38,104,27,39,13,15,3.0,0.0,0.0,875.0,106.0,231.0,163.0,299.0,9.0,10.0,88.0,202.0,14.0,23.0,4.0,6.0,54.0,138.0,30.0,55.0,22.0,38.0
96,Andrew Sanchez,73.0,185.0,74.0,Orthodox,10,5,0,5,0,7778,3.0,0.0,0.0,2434,557,1275,850,1629,22,60,407,1054,99,149,51,72,438,1125,54,78,65,72,1.0,0.0,1.0,172.0,591.0,1217.0,719.0,1361.0,0.0,8.0,404.0,992.0,135.0,167.0,52.0,58.0,452.0,1044.0,119.0,153.0,20.0,20.0
97,Andy Enz,75.0,185.0,78.0,Orthodox,3,0,0,3,0,1916,0.0,0.0,0.0,0,112,482,121,492,0,1,74,429,22,31,16,22,110,478,2,3,0,1,2.0,0.0,0.0,256.0,170.0,404.0,180.0,415.0,5.0,12.0,91.0,306.0,29.0,42.0,50.0,56.0,143.0,366.0,16.0,22.0,11.0,16.0
98,Andy Ogle,68.0,145.0,69.0,Orthodox,6,1,0,5,0,4368,1.0,0.0,1.0,2217,163,363,445,659,7,26,99,275,43,66,21,22,116,300,8,12,39,51,2.0,5.0,4.0,806.0,162.0,326.0,305.0,482.0,5.0,12.0,107.0,261.0,38.0,45.0,17.0,20.0,126.0,282.0,22.0,28.0,14.0,16.0
99,Ange Loosa,70.0,170.0,74.0,Orthodox,2,1,0,1,0,1800,0.0,0.0,0.0,334,217,446,332,570,2,6,122,329,41,54,54,63,183,402,11,18,23,26,0.0,0.0,0.0,98.0,228.0,441.0,244.0,461.0,0.0,6.0,172.0,371.0,32.0,44.0,24.0,26.0,218.0,424.0,9.0,14.0,1.0,3.0
100,Angela Hill,63.0,115.0,64.0,Orthodox,22,10,0,12,0,18513,3.0,2.0,3.0,2111,1754,3555,2010,3874,12,41,1072,2630,518,733,164,192,1305,2965,390,501,59,89,1.0,2.0,0.0,2976.0,1533.0,4121.0,1915.0,4575.0,23.0,100.0,916.0,3198.0,371.0,619.0,246.0,304.0,1291.0,3711.0,209.0,360.0,33.0,50.0
101,Angela Magana,61.0,115.0,65.0,Orthodox,3,0,0,3,0,2232,0.0,1.0,0.0,479,57,200,74,220,1,4,13,133,19,36,25,31,48,189,8,10,1,1,1.0,5.0,0.0,635.0,183.0,316.0,331.0,504.0,5.0,7.0,116.0,228.0,50.0,68.0,17.0,20.0,118.0,238.0,18.0,22.0,47.0,56.0
102,Anthony Birchak,68.0,135.0,69.0,Orthodox,6,2,0,4,0,1879,2.0,1.0,1.0,223,123,336,199,419,1,7,66,246,32,60,25,30,82,261,27,53,14,22,3.0,4.0,0.0,655.0,115.0,266.0,156.0,316.0,8.0,21.0,90.0,224.0,20.0,31.0,5.0,11.0,69.0,188.0,19.0,32.0,27.0,46.0
103,Anthony Hamilton,77.0,260.0,76.0,Orthodox,10,3,0,7,0,3773,1.0,0.0,0.0,1618,246,375,324,463,11,26,77,190,151,162,18,23,53,148,91,118,102,109,2.0,2.0,0.0,279.0,190.0,350.0,313.0,482.0,3.0,14.0,126.0,271.0,46.0,53.0,18.0,26.0,92.0,233.0,79.0,96.0,19.0,21.0
104,Anthony Hernandez,72.0,185.0,75.0,Orthodox,6,4,0,2,0,3011,0.0,8.0,1.0,1565,195,329,294,452,22,34,164,296,27,29,4,4,110,225,31,47,54,57,1.0,2.0,1.0,601.0,176.0,331.0,208.0,366.0,6.0,18.0,135.0,286.0,36.0,40.0,5.0,5.0,126.0,264.0,41.0,53.0,9.0,14.0
105,Anthony Ivy,74.0,185.0,74.0,Orthodox,2,0,0,2,0,959,0.0,0.0,0.0,350,40,95,58,116,5,24,26,79,10,12,4,4,23,64,11,21,6,10,0.0,2.0,0.0,117.0,73.0,149.0,185.0,273.0,0.0,1.0,58.0,132.0,11.0,12.0,4.0,5.0,50.0,112.0,18.0,30.0,5.0,7.0
106,Anthony Johnson,74.0,205.0,78.0,Orthodox,19,13,0,6,0,7039,13.0,5.0,1.0,2609,381,800,673,1130,19,33,255,639,57,77,69,84,214,555,67,93,100,152,0.0,13.0,1.0,1402.0,215.0,543.0,479.0,823.0,7.0,31.0,133.0,409.0,28.0,60.0,54.0,74.0,112.0,408.0,45.0,64.0,58.0,71.0
107,Anthony Njokuani,73.0,155.0,75.0,Orthodox,8,3,0,5,0,6772,1.0,1.0,1.0,121,427,950,477,1003,3,8,200,618,124,199,103,133,357,847,65,93,5,10,0.0,0.0,0.0,1701.0,310.0,829.0,421.0,960.0,29.0,62.0,143.0,570.0,59.0,114.0,108.0,145.0,189.0,672.0,82.0,107.0,39.0,50.0
108,Anthony Perosh,75.0,205.0,75.0,Orthodox,12,5,0,7,0,3994,2.0,5.0,0.0,934,151,350,217,425,9,40,127,323,3,6,21,21,64,213,23,38,64,99,4.0,1.0,3.0,1225.0,251.0,545.0,431.0,738.0,4.0,6.0,210.0,495.0,30.0,38.0,11.0,12.0,115.0,347.0,46.0,69.0,90.0,129.0
109,Anthony Pettis,70.0,155.0,72.0,Orthodox,20,11,0,9,0,13910,4.0,11.0,11.0,1616,769,1589,1118,1960,8,20,497,1207,162,254,110,128,657,1425,53,79,59,85,2.0,1.0,3.0,4480.0,924.0,1962.0,1329.0,2426.0,45.0,102.0,519.0,1408.0,222.0,328.0,183.0,226.0,686.0,1607.0,136.0,190.0,102.0,165.0
110,Anthony Rocco Martin,72.0,170.0,73.0,Orthodox,15,9,0,6,0,11444,2.0,13.0,4.0,2911,511,1374,710,1608,9,33,371,1202,47,62,93,110,428,1254,42,64,41,56,0.0,4.0,3.0,1614.0,494.0,1184.0,694.0,1402.0,15.0,48.0,228.0,821.0,151.0,211.0,115.0,152.0,415.0,1086.0,69.0,84.0,10.0,14.0
111,Anthony Smith,76.0,205.0,76.0,Orthodox,18,11,0,7,0,11267,7.0,7.0,2.0,817,571,1175,662,1274,6,22,381,914,108,170,82,91,474,1042,60,83,37,50,4.0,1.0,2.0,4230.0,849.0,1479.0,1434.0,2117.0,21.0,41.0,489.0,1037.0,143.0,198.0,217.0,244.0,495.0,1016.0,87.0,129.0,267.0,334.0
112,Anton Kuivanen,68.0,155.0,72.0,Orthodox,3,1,0,2,0,2249,0.0,1.0,2.0,499,85,223,123,265,3,3,51,174,30,44,4,5,52,180,17,21,16,22,0.0,3.0,1.0,648.0,61.0,185.0,104.0,235.0,8.0,28.0,33.0,148.0,15.0,20.0,13.0,17.0,40.0,154.0,11.0,16.0,10.0,15.0
113,Antoni Hardonk,76.0,245.0,78.0,Orthodox,8,4,0,4,0,3072,3.0,3.0,1.0,145,174,283,216,329,0,2,90,181,37,46,47,56,81,164,68,92,25,27,3.0,1.0,0.0,1934.0,157.0,296.0,325.0,503.0,12.0,20.0,112.0,242.0,18.0,22.0,27.0,32.0,66.0,156.0,36.0,48.0,55.0,92.0
114,Antonina Shevchenko,68.0,125.0,67.0,Southpaw,8,4,0,4,0,5732,0.0,3.0,2.0,1337,328,615,516,856,3,7,211,466,80,108,37,41,218,470,65,80,45,65,0.0,7.0,2.0,2096.0,290.0,615.0,723.0,1113.0,17.0,33.0,207.0,490.0,45.0,67.0,38.0,58.0,139.0,425.0,32.0,42.0,119.0,148.0
115,Antonio Arroyo,75.0,185.0,73.0,Orthodox,3,0,0,3,0,2546,0.0,0.0,1.0,355,95,155,147,211,1,1,53,102,26,36,16,17,85,141,0,1,10,13,1.0,2.0,0.0,968.0,83.0,182.0,194.0,324.0,16.0,29.0,34.0,115.0,25.0,39.0,24.0,28.0,72.0,170.0,5.0,5.0,6.0,7.0
116,Antonio Banuelos,65.0,135.0,63.0,Orthodox,1,0,0,1,0,900,0.0,0.0,0.0,1,10,135,10,135,0,0,9,120,0,10,1,5,8,126,2,9,0,0,0.0,0.0,0.0,0.0,73.0,188.0,73.0,188.0,0.0,0.0,61.0,175.0,5.0,6.0,7.0,7.0,72.0,184.0,1.0,4.0,0.0,0.0
117,Antonio Braga Neto,75.0,185.0,77.0,Orthodox,3,1,0,2,0,1759,0.0,1.0,1.0,693,40,120,105,196,6,16,30,104,6,10,4,6,25,104,3,3,12,13,1.0,0.0,2.0,175.0,115.0,210.0,132.0,227.0,1.0,1.0,91.0,179.0,20.0,25.0,4.0,6.0,107.0,198.0,4.0,5.0,4.0,7.0
118,Antonio Carlos Junior,74.0,185.0,79.0,Orthodox,13,7,0,5,1,8937,0.0,8.0,2.0,4215,290,681,584,1048,34,87,196,564,52,72,42,45,187,535,29,41,74,105,1.0,3.0,0.0,1558.0,319.0,676.0,684.0,1084.0,7.0,15.0,230.0,550.0,33.0,52.0,56.0,74.0,146.0,430.0,18.0,26.0,155.0,220.0
119,Antonio Carvalho,69.0,145.0,70.0,Orthodox,4,2,0,2,0,2057,1.0,0.0,0.0,147,104,353,136,389,0,3,45,272,9,16,50,65,92,332,7,11,5,10,1.0,0.0,0.0,198.0,124.0,354.0,148.0,381.0,0.0,2.0,80.0,283.0,22.0,29.0,22.0,42.0,108.0,327.0,12.0,20.0,4.0,7.0
120,Antonio Mendes,75.0,205.0,77.0,Southpaw,2,0,0,2,0,359,1.0,0.0,0.0,31,8,17,17,26,1,2,3,12,4,4,1,1,4,10,3,5,1,2,0.0,1.0,1.0,273.0,41.0,53.0,79.0,91.0,0.0,1.0,36.0,48.0,5.0,5.0,0.0,0.0,1.0,2.0,3.0,3.0,37.0,48.0
121,Antonio Rodrigo Nogueira,75.0,240.0,77.0,Orthodox,11,5,0,6,0,5598,4.0,10.0,4.0,1404,264,647,516,937,8,37,212,586,39,48,13,13,204,565,49,64,11,18,8.0,2.0,4.0,846.0,360.0,820.0,462.0,929.0,5.0,8.0,246.0,681.0,54.0,71.0,60.0,68.0,273.0,682.0,43.0,68.0,44.0,70.0
122,Antonio Silva,76.0,264.0,82.0,Orthodox,11,3,0,8,0,4036,4.0,0.0,0.0,320,194,382,298,503,0,10,108,267,38,58,48,57,132,284,42,65,20,33,7.0,0.0,0.0,1263.0,311.0,529.0,472.0,710.0,5.0,13.0,240.0,451.0,49.0,56.0,22.0,22.0,164.0,330.0,37.0,49.0,110.0,150.0
123,Aoriqileng,67.0,125.0,69.0,Orthodox,4,2,0,2,0,2868,1.0,0.0,0.0,293,290,596,354,678,5,11,200,492,68,80,22,24,242,519,20,30,28,47,2.0,0.0,0.0,754.0,343.0,668.0,403.0,737.0,8.0,18.0,274.0,583.0,45.0,56.0,24.0,29.0,308.0,627.0,28.0,33.0,7.0,8.0
124,Ariane Carnelossi,62.0,115.0,61.0,Orthodox,4,2,0,2,0,2781,0.0,1.0,3.0,618,141,346,273,503,5,9,99,289,18,31,24,26,100,280,26,48,15,18,0.0,3.0,2.0,1033.0,219.0,391.0,357.0,561.0,11.0,12.0,146.0,295.0,64.0,86.0,9.0,10.0,132.0,284.0,58.0,74.0,29.0,33.0
125,Ariane Lipski,66.0,125.0,67.0,Orthodox,8,3,0,5,0,4893,3.0,2.0,1.0,1089,272,751,505,1026,1,5,132,540,109,157,31,54,220,673,29,41,23,37,1.0,4.0,1.0,1510.0,334.0,686.0,549.0,958.0,8.0,18.0,221.0,537.0,47.0,70.0,66.0,79.0,208.0,512.0,28.0,36.0,98.0,138.0
126,Ariel Beck,66.0,125.0,66.0,Southpaw,1,0,0,1,0,473,0.0,0.0,0.0,9,35,102,35,102,0,0,8,52,16,37,11,13,34,100,1,2,0,0,1.0,0.0,0.0,0.0,34.0,95.0,36.0,97.0,0.0,0.0,19.0,70.0,9.0,16.0,6.0,9.0,31.0,92.0,3.0,3.0,0.0,0.0
127,Arjan Bhullar,73.0,245.0,75.0,Orthodox,4,3,0,1,0,3119,1.0,0.0,0.0,1298,121,214,270,390,6,8,104,195,13,14,4,5,63,137,37,48,21,29,0.0,1.0,0.0,112.0,169.0,413.0,234.0,480.0,0.0,1.0,93.0,324.0,44.0,56.0,32.0,33.0,120.0,348.0,46.0,60.0,3.0,5.0
128,Arman Tsarukyan,67.0,155.0,72.0,Orthodox,8,6,0,2,0,6546,2.0,0.0,0.0,2315,388,860,671,1199,24,72,234,660,98,134,56,66,272,700,28,42,88,118,0.0,0.0,0.0,800.0,211.0,468.0,373.0,649.0,10.0,40.0,140.0,368.0,57.0,81.0,14.0,19.0,163.0,405.0,34.0,42.0,14.0,21.0
129,Armen Petrosyan,75.0,185.0,71.0,Orthodox,2,1,0,1,0,1800,0.0,0.0,1.0,79,158,292,200,364,0,0,52,158,41,56,65,78,143,271,0,0,15,21,0.0,2.0,0.0,703.0,73.0,158.0,110.0,216.0,6.0,8.0,49.0,129.0,15.0,20.0,9.0,9.0,72.0,156.0,1.0,2.0,0.0,0.0
130,Arnold Allen,68.0,145.0,70.0,Southpaw,10,10,0,0,0,7323,3.0,3.0,0.0,1255,415,984,501,1083,11,22,312,835,70,98,33,51,366,891,18,43,31,50,0.0,4.0,1.0,1361.0,274.0,838.0,465.0,1086.0,12.0,51.0,154.0,665.0,58.0,95.0,62.0,78.0,221.0,759.0,40.0,62.0,13.0,17.0
131,Artem Lobov,69.0,145.0,65.0,Southpaw,7,2,0,5,0,6900,0.0,0.0,0.0,719,405,977,472,1056,3,12,203,700,71,121,131,156,382,931,17,39,6,7,2.0,1.0,0.0,1054.0,554.0,1120.0,817.0,1411.0,12.0,25.0,290.0,776.0,133.0,202.0,131.0,142.0,475.0,1008.0,45.0,68.0,34.0,44.0
132,Ashkan Mokhtarian,66.0,125.0,67.0,Southpaw,2,0,0,2,0,1658,0.0,0.0,0.0,151,54,124,58,131,1,6,22,82,13,20,19,22,51,121,1,1,2,2,1.0,4.0,0.0,469.0,101.0,180.0,120.0,202.0,2.0,3.0,86.0,159.0,11.0,17.0,4.0,4.0,55.0,121.0,6.0,11.0,40.0,48.0
133,Ashlee Evans-Smith,68.0,135.0,67.0,Orthodox,8,3,0,5,0,5736,0.0,0.0,0.0,803,434,1262,540,1386,7,30,223,953,133,210,78,99,302,1083,93,127,39,52,1.0,3.0,1.0,791.0,448.0,997.0,515.0,1072.0,5.0,15.0,269.0,784.0,88.0,114.0,91.0,99.0,364.0,872.0,64.0,97.0,20.0,28.0
134,Ashley Yoder,67.0,115.0,69.0,Southpaw,10,3,0,7,0,9000,1.0,6.0,5.0,2603,462,1171,881,1657,12,40,305,919,104,176,53,76,330,993,39,59,93,119,0.0,5.0,4.0,1976.0,564.0,1076.0,739.0,1272.0,7.0,23.0,285.0,717.0,130.0,191.0,149.0,168.0,386.0,858.0,131.0,156.0,47.0,62.0
135,Askar Askarov,66.0,125.0,67.0,Orthodox,5,3,0,2,0,4500,0.0,2.0,2.0,1409,229,424,301,512,13,53,176,360,24,33,29,31,174,354,24,27,31,43,1.0,0.0,1.0,643.0,210.0,499.0,321.0,623.0,5.0,15.0,99.0,329.0,67.0,114.0,44.0,56.0,170.0,438.0,22.0,32.0,18.0,29.0
136,Aspen Ladd,66.0,145.0,66.0,Orthodox,7,4,0,3,0,4608,1.0,3.0,1.0,1608,290,617,462,817,8,17,224,529,51,71,15,17,136,400,52,73,102,144,1.0,0.0,1.0,815.0,357.0,674.0,490.0,816.0,3.0,8.0,187.0,482.0,138.0,155.0,32.0,37.0,235.0,524.0,117.0,143.0,5.0,7.0
137,Augusto Mendes,66.0,135.0,65.0,Orthodox,3,1,0,2,0,2058,1.0,0.0,1.0,325,83,238,161,325,4,12,54,194,13,20,16,24,64,209,17,24,2,5,2.0,0.0,0.0,518.0,134.0,308.0,222.0,403.0,2.0,10.0,52.0,195.0,59.0,81.0,23.0,32.0,89.0,243.0,23.0,30.0,22.0,35.0
138,Augusto Montano,73.0,170.0,73.0,Orthodox,3,1,0,2,0,2049,0.0,0.0,0.0,87,118,256,132,270,0,0,40,149,22,39,56,68,85,208,29,41,4,7,0.0,0.0,0.0,637.0,91.0,210.0,173.0,307.0,8.0,24.0,63.0,168.0,4.0,12.0,24.0,30.0,74.0,182.0,4.0,14.0,13.0,14.0
139,Augusto Sakai,75.0,265.0,77.0,Orthodox,8,4,0,4,0,5075,1.0,0.0,0.0,497,377,777,457,863,1,3,228,568,103,146,46,63,239,612,120,145,18,20,2.0,1.0,0.0,1012.0,401.0,729.0,495.0,843.0,10.0,15.0,234.0,535.0,115.0,132.0,52.0,62.0,261.0,554.0,65.0,80.0,75.0,95.0
140,Austin Arnett,72.0,145.0,72.0,Orthodox,4,1,0,3,0,3228,0.0,0.0,0.0,426,206,483,231,512,2,11,166,425,37,54,3,4,169,431,19,30,18,22,2.0,0.0,1.0,192.0,305.0,710.0,340.0,751.0,3.0,7.0,156.0,508.0,73.0,111.0,76.0,91.0,258.0,632.0,32.0,54.0,15.0,24.0
141,Austin Hubbard,70.0,155.0,71.0,Orthodox,7,3,0,4,0,5331,0.0,0.0,2.0,928,326,685,487,905,8,13,155,434,76,142,95,109,279,621,18,28,29,36,0.0,2.0,1.0,1239.0,264.0,632.0,345.0,724.0,14.0,38.0,143.0,457.0,41.0,80.0,80.0,95.0,214.0,573.0,24.0,28.0,26.0,31.0
142,Austin Lingo,70.0,145.0,70.0,Orthodox,3,2,0,1,0,2700,2.0,0.0,0.0,404,180,424,200,450,2,3,131,356,38,54,11,14,177,412,3,11,0,1,0.0,3.0,0.0,486.0,172.0,416.0,208.0,461.0,7.0,35.0,97.0,320.0,40.0,59.0,35.0,37.0,163.0,399.0,7.0,12.0,2.0,5.0
143,Austin Springer,68.0,145.0,71.0,Orthodox,1,0,0,1,0,218,0.0,0.0,0.0,3,14,32,14,32,0,1,3,17,2,5,9,10,13,31,1,1,0,0,0.0,1.0,0.0,10.0,18.0,31.0,18.0,31.0,0.0,0.0,11.0,22.0,4.0,4.0,3.0,5.0,18.0,31.0,0.0,0.0,0.0,0.0
144,Azamat Murzakanov,70.0,225.0,71.0,Southpaw,2,2,0,0,0,1322,2.0,0.0,0.0,259,107,175,123,197,1,6,66,125,34,42,7,8,50,109,11,11,46,55,0.0,0.0,0.0,40.0,57.0,150.0,89.0,188.0,0.0,0.0,18.0,88.0,20.0,34.0,19.0,28.0,48.0,138.0,9.0,12.0,0.0,0.0
145,BJ Penn,69.0,155.0,70.0,Orthodox,27,12,0,15,0,21377,7.0,12.0,1.0,3491,999,2101,1890,3032,26,45,783,1848,162,191,54,62,628,1594,210,279,161,228,1.0,3.0,9.0,6222.0,1239.0,2873.0,2303.0,4024.0,34.0,143.0,793.0,2236.0,242.0,360.0,204.0,277.0,849.0,2259.0,170.0,280.0,220.0,334.0
